base digits : [ magic numbers ]; quantity of cycles; max length of cycle; max depth from number to magic number/cycle
2   2 : [ 00 01 ]; 0; 0; 1
2   3 : [ 00 ]; 0; 0; 3
2   4 : [ 00 ]; 1; 2; 2
2   5 : [ 00 13 ]; 0; 0; 3
2   6 : [ 00 ]; 1; 3; 2
2   7 : [ 00 ]; 0; 0; 4
2   8 : [ 00 25 ]; 1; 3; 2
2   9 : [ 00 ]; 1; 2; 3
2   10 : [ 00 ]; 1; 5; 2
3   2 : [ 000 011 ]; 0; 0; 1
3   3 : [ 000 ]; 1; 2; 1
3   4 : [ 000 132 ]; 0; 0; 3
3   5 : [ 000 ]; 1; 2; 3
3   6 : [ 000 253 ]; 0; 0; 4
3   7 : [ 000 ]; 1; 2; 4
3   8 : [ 000 374 ]; 0; 0; 5
3   9 : [ 000 ]; 1; 2; 5
3   10 : [ 000 495 ]; 0; 0; 6
4   2 : [ 0000 1001 0111 ]; 0; 0; 1
4   3 : [ 0000 ]; 1; 2; 2
4   4 : [ 0000 3021 ]; 1; 2; 3
4   5 : [ 0000 3032 ]; 0; 0; 4
4   6 : [ 0000 ]; 1; 6; 4
4   7 : [ 0000 ]; 1; 3; 4
4   8 : [ 0000 ]; 2; 5; 5
4   9 : [ 0000 ]; 2; 3; 4
4   10 : [ 0000 6174 ]; 0; 0; 7
5   2 : [ 00000 10101 01111 ]; 0; 0; 1
5   3 : [ 00000 20211 ]; 0; 0; 4
5   4 : [ 00000 ]; 1; 2; 4
5   5 : [ 00000 ]; 1; 4; 3
5   6 : [ 00000 41532 ]; 1; 2; 6
5   7 : [ 00000 ]; 1; 5; 6
5   8 : [ 00000 ]; 2; 4; 8
5   9 : [ 00000 62853 ]; 1; 5; 7
5   10 : [ 00000 ]; 3; 4; 6
6   2 : [ 000000 110001 101101 011111 ]; 0; 0; 1
6   3 : [ 000000 ]; 1; 3; 3
6   4 : [ 000000 330201 310221 213312 ]; 0; 0; 6
6   5 : [ 000000 ]; 1; 5; 5
6   6 : [ 000000 530421 420432 325523 ]; 1; 3; 7
6   7 : [ 000000 ]; 1; 6; 7
6   8 : [ 000000 640632 437734 ]; 1; 3; 16
6   9 : [ 000000 ]; 1; 14; 8
6   10 : [ 000000 631764 549945 ]; 1; 7; 13
7   2 : [ 0000000 1101001 1011101 0111111 ]; 0; 0; 1
7   3 : [ 0000000 2202101 ]; 1; 2; 4
7   4 : [ 0000000 3203211 ]; 0; 0; 6
7   5 : [ 0000000 ]; 1; 4; 7
7   6 : [ 0000000 ]; 1; 2; 10
7   7 : [ 0000000 ]; 1; 6; 14
7   8 : [ 0000000 6417532 ]; 2; 7; 9
7   9 : [ 0000000 ]; 1; 2; 11
7   10 : [ 0000000 ]; 1; 8; 13
8   2 : [ 00000000 11100001 11011001 10111101 01111111 ]; 0; 0; 1
8   3 : [ 00000000 21022111 ]; 0; 0; 5
8   4 : [ 00000000 33302001 33102201 31102221 ]; 1; 3; 6
8   5 : [ 00000000 ]; 1; 6; 8
8   6 : [ 00000000 55304201 43155322 ]; 3; 7; 7
8   7 : [ 00000000 ]; 1; 6; 9
8   8 : [ 00000000 75306421 ]; 2; 3; 15
8   9 : [ 00000000 65288533 ]; 1; 4; 25
8   10 : [ 00000000 97508421 63317664 ]; 2; 7; 19
9   2 : [ 000000000 111010001 110111001 101111101 011111111 ]; 0; 0; 1
9   3 : [ 000000000 222021001 ]; 2; 3; 4
9   4 : [ 000000000 332032101 321032211 221333112 ]; 0; 0; 6
9   5 : [ 000000000 432043211 ]; 0; 0; 14
9   6 : [ 000000000 332555223 ]; 1; 2; 13
9   7 : [ 000000000 ]; 1; 11; 15
9   8 : [ 000000000 443777334 ]; 3; 5; 15
9   9 : [ 000000000 753186532 ]; 1; 12; 11
9   10 : [ 000000000 864197532 554999445 ]; 1; 14; 13
10   2 : [ 0000000000 1111000001 1110110001 1101111001 1011111101 0111111111 ]; 0; 0; 1
10   3 : [ 0000000000 2210221101 ]; 1; 4; 5
10   4 : [ 0000000000 3333020001 3331022001 3311022201 3111022221 3220332111 ]; 0; 0; 7
10   5 : [ 0000000000 ]; 1; 4; 9
10   6 : [ 0000000000 5553042001 5331044221 4321044322 4421553312 ]; 3; 2; 12
10   7 : [ 0000000000 ]; 3; 2; 11
10   8 : [ 0000000000 7753064201 ]; 4; 3; 16
10   9 : [ 0000000000 6632885523 ]; 2; 5; 21
10   10 : [ 0000000000 9975084201 9753086421 6333176664 ]; 5; 7; 17
