"Base","Length","Max length of loop","Magic numbers"
"2","2","0","['0', '1']"
"3","2","0","['0']"
"4","2","2","['0']"
"5","2","0","['13', '0']"
"6","2","2","['0']"
"7","2","0","['0']"
"8","2","2","['0', '25']"
"9","2","3","['0']"
"10","2","2","['0']"
"2","3","0","['0', '11']"
"3","3","1","['0']"
"4","3","0","['0', '132']"
"5","3","3","['0']"
"6","3","0","['0', '253']"
"7","3","4","['0']"
"8","3","0","['0', '374']"
"9","3","5","['0']"
"10","3","0","['0', '495']"
"2","4","0","['0', '1001', '111']"
"3","4","2","['0']"
"4","4","3","['0', '3021']"
"5","4","0","['3032', '0']"
"6","4","4","['0']"
"7","4","4","['0']"
"8","4","5","['0']"
"9","4","4","['0']"
"10","4","0","['0', '6174']"
"2","5","0","['0', '10101', '1111']"
"3","5","0","['20211', '0']"
"4","5","4","['0']"
"5","5","3","['0']"
"6","5","3","['41532', '0']"
"7","5","6","['0']"
"8","5","8","['0']"
"9","5","7","['62853', '0']"
"10","5","6","['0']"
"2","6","0","['0', '110001', '101101', '11111']"
"3","6","3","['0']"
"4","6","0","['0', '310221', '213312', '330201']"
"5","6","5","['0']"
"6","6","7","['0', '325523', '420432', '530421']"
"7","6","7","['0']"
"8","6","5","['0', '640632', '437734']"
"9","6","8","['0']"
"10","6","13","['0', '549945', '631764']"
