		digits count					
		1	2	3	4	5	6
bases	2	['0']|0|0,	['00', '01']|0|0	['000', '011']|0|0	['0000', '0111', '1001']|0|0	['00000', '01111', '10101']|0|0	['000000', '011111', '101101', '110001']|0|0
1 - numbers	3	['0']|0|0	['00']|0|0	['000']|1|2	['0000']|1|2	['00000', '20211']|0|0	['000000']|1|3
2- loops count	4	['0']|0|0	['00']|1|2	['000', '132']|0|0	['0000', '3021']|1|2	['00000']|1|2	['000000', '213312', '310221', '330201']|0|0
3 - max loop length	5	['0']|0|0	['00', '13']|0|0	['000']|1|2	['0000', '3032']|0|0	['00000']|1|4	['000000']|1|5
	6	['0']|0|0	['00']|1|3	['000', '253']|0|0	['0000']|1|6	['00000', '41532']|1|2	['000000', '325523', '420432', '530421']|1|
	7	['0']|0|0	['00']|0|0	['000']|1|2	['0000']|1|3	['00000']|1|5	['000000']|1|6
	8	['0']|0|0	['00', '25']|1|3	['000', '374']|0|0	['0000']|2|5	['00000']|2|4	['000000', '437734', '640632']|1|3
	9	['0']|0|0	['00']|1|2	['000']|1|2	['0000']|2|3	['00000', '62853']|1|5	['000000']|1|14
	10	['0']|0|0	['00']|1|5	['000', '495']|0|0	['0000', '6174']|0|0	['00000']|3|4,"['000000	['549945', '631764']|1|7
	11	['0']|0|0	['00', '37']|0|0	['000']|1|2	['0000']|2|5	['00000']|1|4	['000000']|1|4
	12	['0']|0|0	['00']|1|6	['000', '5B6']|0|0	['0000']|2|6	['00000', '83B74']|1|2	['000000', '65BB56']|1|10
	13	['0']|0|0	['00']|1|3	['000']|1|2	['0000']|3|6	['00000']|1|4	['000000', '951A74']|0|0
	14	['0']|0|0	['00', '49']|2|4	['000', '6D7']|0|0	['0000']|1|3	['00000']|2|4	['000000', '76DD67']|3|12
	15	['0']|0|0	['00']|0|0	['000']|1|2	['0000', '92B6']|6|4	['00000', 'A4E95']|0|0	['000000']|2|9
	16	['0']|0|0	['00']|2|4	['000', '7F8']|0|0	['0000']|4|6	['00000']|3|4	['000000', '87FF78']|5|5
