,#digits,#ones,#symm,#class1,#class2,#class3,class1,class2,class3
0,3,0,3,3,0,0,"['(0)0|0', '|0(0)0', '0|0(0)']",[],[]
1,3,1,1,1,0,0,['0|0(1)'],[],[]
2,3,2,1,1,0,0,['(0)1|1'],[],[]
3,3,3,3,3,0,0,"['(1)1|1', '|1(1)1', '1|1(1)']",[],[]
4,4,0,4,0,2,2,[],"['(0)0(0)0', '0(0)0(0)']","['|00|00', '0|00|0']"
5,4,1,1,0,1,0,[],['0(0)0(1)'],[]
6,4,2,3,0,2,1,[],"['(0)1(0)1', '0(1)0(1)']",['0|01|1']
7,4,3,1,0,1,0,[],['(0)1(1)1'],[]
8,4,4,4,0,2,2,[],"['(1)1(1)1', '1(1)1(1)']","['|11|11', '1|11|1']"
9,5,0,5,5,0,0,"['(0)00|00', '0(0)00|0', '|00(0)00', '0|00(0)0', '00|00(0)']",[],[]
10,5,1,1,1,0,0,['00|00(1)'],[],[]
11,5,2,2,2,0,0,"['0|01(0)1', '0(0)01|1']",[],[]
12,5,3,2,2,0,0,"['0|01(1)1', '0(1)01|1']",[],[]
13,5,4,1,1,0,0,['(0)11|11'],[],[]
14,5,5,5,5,0,0,"['(1)11|11', '1(1)11|1', '|11(1)11', '1|11(1)1', '11|11(1)']",[],[]
15,6,0,6,0,3,3,[],"['(0)00(0)00', '0(0)00(0)0', '00(0)00(0)']","['|000|000', '0|000|00', '00|000|0']"
16,6,1,1,0,1,0,[],['00(0)00(1)'],[]
17,6,2,4,0,2,2,[],"['00(1)00(1)', '0(0)01(0)1']","['00|001|1', '0|010|01']"
18,6,3,4,0,4,0,[],"['(0)10(1)01', '0(1)01(0)1', '01(0)10(1)', '0(0)01(1)1']",[]
19,6,4,4,0,2,2,[],"['(0)11(0)11', '0(1)01(1)1']","['0|011|11', '01|101|1']"
20,6,5,1,0,1,0,[],['(0)11(1)11'],[]
21,6,6,6,0,3,3,[],"['(1)11(1)11', '1(1)11(1)1', '11(1)11(1)']","['|111|111', '1|111|11', '11|111|1']"
22,7,0,7,7,0,0,"['(0)000|000', '0(0)000|00', '00(0)000|0', '|000(0)000', '0|000(0)00', '00|000(0)0', '000|000(0)']",[],[]
23,7,1,1,1,0,0,['000|000(1)'],[],[]
24,7,2,3,3,0,0,"['0(0)010|01', '00(0)001|1', '00|001(0)1']",[],[]
25,7,3,3,3,0,0,"['0|010(1)01', '00(1)001|1', '00|001(1)1']",[],[]
26,7,4,3,3,0,0,"['0|011(0)11', '0(0)011|11', '01(0)101|1']",[],[]
27,7,5,3,3,0,0,"['0|011(1)11', '0(1)011|11', '01|101(1)1']",[],[]
28,7,6,1,1,0,0,['(0)111|111'],[],[]
29,7,7,7,7,0,0,"['(1)111|111', '1(1)111|11', '11(1)111|1', '|111(1)111', '1|111(1)11', '11|111(1)1', '111|111(1)']",[],[]
30,8,0,8,0,4,4,[],"['(0)000(0)000', '0(0)000(0)00', '00(0)000(0)0', '000(0)000(0)']","['|0000|0000', '0|0000|000', '00|0000|00', '000|0000|0']"
31,8,1,1,0,1,0,[],['000(0)000(1)'],[]
32,8,2,5,0,3,2,[],"['0(0)010(0)01', '000(1)000(1)', '00(0)001(0)1']","['00|0010|01', '000|0001|1']"
33,8,3,3,0,3,0,[],"['0(0)010(1)01', '00(0)001(1)1', '00(1)001(0)1']",[]
34,8,4,10,0,6,4,[],"['(0)101(0)101', '0(1)010(1)01', '01(0)101(0)1', '010(1)010(1)', '00(1)001(1)1', '0(0)011(0)11']","['0|0110|011', '001|1001|1', '00|0011|11', '0|0101|101']"
35,8,5,3,0,3,0,[],"['0(0)011(1)11', '01(0)101(1)1', '0(1)011(0)11']",[]
36,8,6,5,0,3,2,[],"['(0)111(0)111', '01(1)101(1)1', '0(1)011(1)11']","['0|0111|111', '01|1011|11']"
37,8,7,1,0,1,0,[],['(0)111(1)111'],[]
38,8,8,8,0,4,4,[],"['(1)111(1)111', '1(1)111(1)11', '11(1)111(1)1', '111(1)111(1)']","['|1111|1111', '1|1111|111', '11|1111|11', '111|1111|1']"
39,9,0,9,9,0,0,"['(0)0000|0000', '0(0)0000|000', '00(0)0000|00', '000(0)0000|0', '|0000(0)0000', '0|0000(0)000', '00|0000(0)00', '000|0000(0)0', '0000|0000(0)']",[],[]
40,9,1,1,1,0,0,['0000|0000(1)'],[],[]
41,9,2,4,4,0,0,"['00|0010(0)01', '000(0)0001|1', '00(0)0010|01', '000|0001(0)1']",[],[]
42,9,3,6,6,0,0,"['00(1)0010|01', '0|0100(1)001', '0010|0100(1)', '000|0001(1)1', '00|0010(1)01', '000(1)0001|1']",[],[]
43,9,4,6,6,0,0,"['00(0)0011|11', '0(0)0101|101', '001(0)1001|1', '00|0011(0)11', '0|0101(0)101', '0(0)0110|011']",[],[]
44,9,5,6,6,0,0,"['0|0110(1)011', '00(1)0011|11', '010(1)0101|1', '00|0011(1)11', '001|1001(1)1', '0|0101(1)101']",[],[]
45,9,6,6,6,0,0,"['(0)1101|1011', '011(0)1101|1', '01|1011(0)11', '0|0111(0)111', '01(0)1011|11', '0(0)0111|111']",[],[]
46,9,7,4,4,0,0,"['01|1011(1)11', '0|0111(1)111', '0(1)0111|111', '01(1)1011|11']",[],[]
47,9,8,1,1,0,0,['(0)1111|1111'],[],[]
48,9,9,9,9,0,0,"['(1)1111|1111', '1(1)1111|111', '11(1)1111|11', '111(1)1111|1', '|1111(1)1111', '1|1111(1)111', '11|1111(1)11', '111|1111(1)1', '1111|1111(1)']",[],[]
