"digits,""system"",""maximum number of steps before magic number or cycle appears"",""magic numbers"""
"1,""2"",""1"",""['0']"""
"1,""3"",""1"",""['0']"""
"1,""4"",""1"",""['0']"""
"1,""5"",""1"",""['0']"""
"1,""6"",""1"",""['0']"""
"1,""7"",""1"",""['0']"""
"1,""8"",""1"",""['0']"""
"1,""9"",""1"",""['0']"""
"1,""10"",""1"",""['0']"""
"2,""2"",""1"",""['00', '01']"""
"2,""3"",""3"",""['00']"""
"2,""4"",""3"",""['00']"""
"2,""5"",""3"",""['00', '13']"""
"2,""6"",""4"",""['00']"""
"2,""7"",""4"",""['00']"""
"2,""8"",""4"",""['00', '25']"""
"2,""9"",""4"",""['00']"""
"2,""10"",""6"",""['00']"""
"3,""2"",""1"",""['000', '011']"""
"3,""3"",""2"",""['000']"""
"3,""4"",""3"",""['000', '132']"""
"3,""5"",""4"",""['000']"""
"3,""6"",""4"",""['000', '253']"""
"3,""7"",""5"",""['000']"""
"3,""8"",""5"",""['000', '374']"""
"3,""9"",""6"",""['000']"""
"3,""10"",""6"",""['000', '495']"""
"4,""2"",""1"",""['0000', '0111', '1001']"""
"4,""3"",""3"",""['0000']"""
"4,""4"",""4"",""['0000', '3021']"""
"4,""5"",""4"",""['0000', '3032']"""
"4,""6"",""9"",""['0000']"""
"4,""7"",""6"",""['0000']"""
"4,""8"",""9"",""['0000']"""
"4,""9"",""6"",""['0000']"""
"4,""10"",""7"",""['0000', '6174']"""
"5,""2"",""1"",""['00000', '01111', '10101']"""
"5,""3"",""4"",""['00000', '20211']"""
"5,""4"",""5"",""['00000']"""
"5,""5"",""6"",""['00000']"""
"5,""6"",""6"",""['00000', '41532']"""
"5,""7"",""10"",""['00000']"""
"5,""8"",""11"",""['00000']"""
"5,""9"",""11"",""['00000', '62853']"""
"5,""10"",""9"",""['00000']"""
"6,""2"",""1"",""['000000', '011111', '101101', '110001']"""
"6,""3"",""5"",""['000000']"""
"6,""4"",""6"",""['000000', '213312', '310221', '330201']"""
"6,""5"",""9"",""['000000']"""
"6,""6"",""9"",""['000000', '325523', '420432', '530421']"""
"6,""7"",""12"",""['000000']"""
"6,""8"",""16"",""['000000', '437734', '640632']"""
"6,""9"",""21"",""['000000']"""
"6,""10"",""19"",""['000000', '549945', '631764']"""
