Количество цифр -- количество единиц:  6  --  3 :
Классов эквивалентности -- симметричных:  4  --  2 .
Количество цифр -- количество единиц:  7  --  3 :
Классов эквивалентности -- симметричных:  5  --  3 .
Количество цифр -- количество единиц:  8  --  3 :
Классов эквивалентности -- симметричных:  7  --  3 .
Количество цифр -- количество единиц:  8  --  4 :
Классов эквивалентности -- симметричных:  10  --  6 .
Количество цифр -- количество единиц:  9  --  3 :
Классов эквивалентности -- симметричных:  10  --  4 .
Количество цифр -- количество единиц:  9  --  4 :
Классов эквивалентности -- симметричных:  14  --  6 .
Количество цифр -- количество единиц:  10  --  3 :
Классов эквивалентности -- симметричных:  12  --  4 .
Количество цифр -- количество единиц:  10  --  4 :
Классов эквивалентности -- симметричных:  22  --  10 .
Количество цифр -- количество единиц:  10  --  5 :
Классов эквивалентности -- симметричных:  26  --  6 .
Количество цифр -- количество единиц:  11  --  3 :
Классов эквивалентности -- симметричных:  15  --  5 .
Количество цифр -- количество единиц:  11  --  4 :
Классов эквивалентности -- симметричных:  30  --  10 .
Количество цифр -- количество единиц:  11  --  5 :
Классов эквивалентности -- симметричных:  42  --  10 .
Количество цифр -- количество единиц:  12  --  3 :
Классов эквивалентности -- симметричных:  19  --  5 .
Количество цифр -- количество единиц:  12  --  4 :
Классов эквивалентности -- симметричных:  43  --  15 .
Количество цифр -- количество единиц:  12  --  5 :
Классов эквивалентности -- симметричных:  66  --  10 .
Количество цифр -- количество единиц:  12  --  6 :
Классов эквивалентности -- симметричных:  80  --  20 .
Количество цифр -- количество единиц:  13  --  3 :
Классов эквивалентности -- симметричных:  22  --  6 .
Количество цифр -- количество единиц:  13  --  4 :
Классов эквивалентности -- симметричных:  55  --  15 .
Количество цифр -- количество единиц:  13  --  5 :
Классов эквивалентности -- симметричных:  99  --  15 .
Количество цифр -- количество единиц:  13  --  6 :
Классов эквивалентности -- симметричных:  132  --  20 .
Количество цифр -- количество единиц:  14  --  3 :
Классов эквивалентности -- симметричных:  26  --  6 .
Количество цифр -- количество единиц:  14  --  4 :
Классов эквивалентности -- симметричных:  73  --  21 .
Количество цифр -- количество единиц:  14  --  5 :
Классов эквивалентности -- симметричных:  143  --  15 .
Количество цифр -- количество единиц:  14  --  6 :
Классов эквивалентности -- симметричных:  217  --  35 .
Количество цифр -- количество единиц:  14  --  7 :
Классов эквивалентности -- симметричных:  246  --  20 .
Количество цифр -- количество единиц:  15  --  3 :
Классов эквивалентности -- симметричных:  31  --  7 .
Количество цифр -- количество единиц:  15  --  4 :
Классов эквивалентности -- симметричных:  91  --  21 .
Количество цифр -- количество единиц:  15  --  5 :
Классов эквивалентности -- симметричных:  201  --  21 .
Количество цифр -- количество единиц:  15  --  6 :
Классов эквивалентности -- симметричных:  335  --  35 .
Количество цифр -- количество единиц:  15  --  7 :
Классов эквивалентности -- симметричных:  429  --  35 .
