"digits", "base", "count of steps"
"1","2","1"
"1","3","1"
"1","4","1"
"1","5","1"
"1","6","1"
"1","7","1"
"1","8","1"
"1","9","1"
"1","10","1"
"2","2","1"
"2","3","3"
"2","4","3"
"2","5","3"
"2","6","4"
"2","7","4"
"2","8","4"
"2","9","4"
"2","10","6"
"3","2","1"
"3","3","3"
"3","4","3"
"3","5","4"
"3","6","4"
"3","7","5"
"3","8","5"
"3","9","6"
"3","10","6"
"4","2","1"
"4","3","3"
"4","4","4"
"4","5","4"
"4","6","9"
"4","7","6"
"4","8","9"
"4","9","6"
"4","10","7"
"5","2","1"
"5","3","4"
"5","4","5"
"5","5","6"
"5","6","9"
"5","7","7"
"5","8","9"
"5","9","10"
"5","10","9"
"6","2","1"
"6","3","5"
"6","4","6"
"6","5","9"
"6","6","9"
"6","7","9"
"6","8","14"
"6","9","19"
"6","10","19"
