,2 digits,3 digits,4 digits,5 digits,6 digits,7 digits,8 digits
2 base,const.p.2 loop.0 max.l.0 max.w.1,const.p.2 loop.0 max.l.0 max.w.1,const.p.3 loop.0 max.l.0 max.w.1,const.p.3 loop.0 max.l.0 max.w.1,const.p.4 loop.0 max.l.0 max.w.1,const.p.4 loop.0 max.l.0 max.w.1,const.p.5 loop.0 max.l.0 max.w.1
3 base,const.p.1 loop.0 max.l.0 max.w.3,const.p.1 loop.1 max.l.2 max.w.1,const.p.1 loop.1 max.l.2 max.w.2,const.p.2 loop.0 max.l.0 max.w.4,const.p.1 loop.1 max.l.3 max.w.3,const.p.2 loop.1 max.l.2 max.w.4,const.p.2 loop.0 max.l.0 max.w.5
4 base,const.p.1 loop.1 max.l.2 max.w.2,const.p.2 loop.0 max.l.0 max.w.3,const.p.2 loop.1 max.l.2 max.w.3,const.p.1 loop.1 max.l.2 max.w.4,const.p.4 loop.0 max.l.0 max.w.6,const.p.2 loop.0 max.l.0 max.w.6,const.p.4 loop.1 max.l.3 max.w.6
5 base,const.p.2 loop.0 max.l.0 max.w.3,const.p.1 loop.1 max.l.2 max.w.3,const.p.2 loop.0 max.l.0 max.w.4,const.p.1 loop.1 max.l.4 max.w.3,const.p.1 loop.1 max.l.5 max.w.5,const.p.1 loop.1 max.l.4 max.w.7,const.p.1 loop.1 max.l.6 max.w.8
6 base,const.p.1 loop.1 max.l.3 max.w.2,const.p.2 loop.0 max.l.0 max.w.4,const.p.1 loop.1 max.l.6 max.w.4,const.p.2 loop.1 max.l.2 max.w.6,const.p.4 loop.1 max.l.3 max.w.7,const.p.1 loop.1 max.l.2 max.w.10,const.p.3 loop.3 max.l.7 max.w.7
7 base,const.p.1 loop.0 max.l.0 max.w.4,const.p.1 loop.1 max.l.2 max.w.4,const.p.1 loop.1 max.l.3 max.w.4,const.p.1 loop.1 max.l.5 max.w.6,const.p.1 loop.1 max.l.6 max.w.7,const.p.1 loop.1 max.l.6 max.w.14,const.p.1 loop.1 max.l.6 max.w.9
8 base,const.p.2 loop.1 max.l.3 max.w.2,const.p.2 loop.0 max.l.0 max.w.5,const.p.1 loop.2 max.l.5 max.w.5,const.p.1 loop.2 max.l.4 max.w.8,const.p.3 loop.1 max.l.3 max.w.16,const.p.2 loop.2 max.l.7 max.w.9,const.p.2 loop.2 max.l.3 max.w.15
9 base,const.p.1 loop.1 max.l.2 max.w.3,const.p.1 loop.1 max.l.2 max.w.5,const.p.1 loop.2 max.l.3 max.w.4,const.p.2 loop.1 max.l.5 max.w.7,const.p.1 loop.1 max.l.14 max.w.8,const.p.1 loop.1 max.l.2 max.w.11,const.p.2 loop.1 max.l.4 max.w.25
10 base,const.p.1 loop.1 max.l.5 max.w.2,const.p.2 loop.0 max.l.0 max.w.6,const.p.2 loop.0 max.l.0 max.w.7,const.p.1 loop.3 max.l.4 max.w.6,const.p.3 loop.1 max.l.7 max.w.13,const.p.1 loop.1 max.l.8 max.w.13,const.p.3 loop.2 max.l.7 max.w.19
11 base,const.p.2 loop.0 max.l.0 max.w.4,const.p.1 loop.1 max.l.2 max.w.6,const.p.1 loop.2 max.l.5 max.w.4,const.p.1 loop.1 max.l.4 max.w.8,const.p.1 loop.1 max.l.4 max.w.17,const.p.1 loop.2 max.l.14 max.w.14,const.p.2 loop.2 max.l.7 max.w.16
12 base,const.p.1 loop.1 max.l.6 max.w.2,const.p.2 loop.0 max.l.0 max.w.7,const.p.1 loop.2 max.l.6 max.w.7,const.p.2 loop.1 max.l.2 max.w.12,const.p.2 loop.1 max.l.10 max.w.19,const.p.2 loop.1 max.l.9 max.w.24,const.p.3 loop.1 max.l.24 max.w.24
13 base,const.p.1 loop.1 max.l.3 max.w.3,const.p.1 loop.1 max.l.2 max.w.7,const.p.1 loop.3 max.l.6 max.w.4,const.p.1 loop.1 max.l.4 max.w.12,const.p.2 loop.0 max.l.0 max.w.20,const.p.1 loop.3 max.l.12 max.w.14,const.p.2 loop.1 max.l.4 max.w.24
14 base,const.p.2 loop.2 max.l.4 max.w.2,const.p.2 loop.0 max.l.0 max.w.8,const.p.1 loop.1 max.l.3 max.w.9,const.p.1 loop.2 max.l.4 max.w.11,const.p.2 loop.3 max.l.12 max.w.29,const.p.1 loop.1 max.l.8 max.w.16,const.p.2 loop.3 max.l.8 max.w.37
15 base,const.p.1 loop.0 max.l.0 max.w.5,const.p.1 loop.1 max.l.2 max.w.8,const.p.2 loop.6 max.l.4 max.w.4,const.p.2 loop.0 max.l.0 max.w.13,const.p.1 loop.2 max.l.9 max.w.14,const.p.1 loop.2 max.l.10 max.w.13,const.p.2 loop.3 max.l.22 max.w.18
16 base,const.p.1 loop.2 max.l.4 max.w.2,const.p.2 loop.0 max.l.0 max.w.9,const.p.1 loop.4 max.l.6 max.w.6,const.p.1 loop.3 max.l.4 max.w.10,const.p.2 loop.5 max.l.5 max.w.31,const.p.2 loop.2 max.l.11 max.w.11,const.p.1 loop.8 max.l.8 max.w.35
