n == 6  k == 3  N == 4  M == 2
n == 7  k == 3  N == 5  M == 3
n == 8  k == 3  N == 7  M == 3
n == 8  k == 4  N == 10  M == 6
n == 9  k == 3  N == 10  M == 4
n == 9  k == 4  N == 14  M == 6
n == 10  k == 3  N == 12  M == 4
n == 10  k == 4  N == 22  M == 10
n == 10  k == 5  N == 26  M == 6
n == 11  k == 3  N == 15  M == 5
n == 11  k == 4  N == 30  M == 10
n == 11  k == 5  N == 42  M == 10
n == 12  k == 3  N == 19  M == 5
n == 12  k == 4  N == 43  M == 15
n == 12  k == 5  N == 66  M == 10
n == 12  k == 6  N == 80  M == 20
n == 13  k == 3  N == 22  M == 6
n == 13  k == 4  N == 55  M == 15
n == 13  k == 5  N == 99  M == 15
n == 13  k == 6  N == 132  M == 20
n == 14  k == 3  N == 26  M == 6
n == 14  k == 4  N == 73  M == 21
n == 14  k == 5  N == 143  M == 15
n == 14  k == 6  N == 217  M == 35
n == 14  k == 7  N == 246  M == 20
n == 15  k == 3  N == 31  M == 7
n == 15  k == 4  N == 91  M == 21
n == 15  k == 5  N == 201  M == 21
n == 15  k == 6  N == 335  M == 35
