Digit|Radix, Max height, Magic numbers, Max cycle length
2|2, 1, 10; , 1
2|3, 3, , 1
2|4, 1, , 2
2|5, 2, 31; , 1
2|6, 1, , 3
2|7, 4, , 1
2|8, 1, 52; , 3
2|9, 2, , 2
2|10, 1, , 5
3|2, 1, 110; , 1
3|3, 1, , 2
3|4, 2, 321; , 1
3|5, 2, , 2
3|6, 3, 532; , 1
3|7, 3, , 2
3|8, 4, 743; , 1
3|9, 4, , 2
3|10, 5, 954; , 1
4|2, 1, 1110; 1100; , 1
4|3, 2, , 2
4|4, 2, 3210; , 2
4|5, 4, 3320; , 1
4|6, 4, , 6
4|7, 4, , 3
4|8, 5, , 5
4|9, 4, , 3
4|10, 7, 7641; , 1
5|2, 1, 11110; 11100; , 1
5|3, 3, 22110; , 1
5|4, 4, , 2
5|5, 3, , 4
5|6, 5, 54321; , 2
5|7, 5, , 5
5|8, 8, , 4
5|9, 6, 86532; , 5
5|10, 5, , 4
6|2, 1, 111110; 111100; 111000; , 1
6|3, 2, , 3
6|4, 5, 322110; 332211; 332100; , 1
6|5, 5, , 5
6|6, 7, 443220; 543210; 553322; , 3
6|7, 7, , 6
6|8, 16, 664320; 774433; , 3
6|9, 8, , 14
6|10, 12, 766431; 995544; , 7
7|2, 1, 1111110; 1111100; 1111000; , 1
7|3, 3, 2221100; , 2
7|4, 6, 3322110; , 1
7|5, 6, , 4
7|6, 9, , 2
7|7, 14, , 6
7|8, 8, 7654321; , 7
7|9, 10, , 2
7|10, 12, , 8
8|2, 1, 11111110; 11111100; 11111000; 11110000; , 1
8|3, 5, 22211110; , 1
8|4, 5, 32221110; 33221100; 33321000; , 3
8|5, 7, , 6
8|6, 6, 55433221; 55432100; , 7
8|7, 8, , 6
8|8, 15, 76543210; , 3
8|9, 25, 88655332; , 4
8|10, 18, 98754210; 76664331; , 7
9|2, 1, 111111110; 111111100; 111111000; 111110000; , 1
9|3, 3, 222211000; , 3
9|4, 5, 332221110; 333222111; 333221100; , 1
9|5, 13, 443322110; , 1
9|6, 12, 555333222; , 2
9|7, 14, , 11
9|8, 14, 777444333; , 5
9|9, 10, 876553321; , 12
9|10, 13, 987654321; 999555444; , 14
10|2, 1, 1111111110; 1111111100; 1111111000; 1111110000; 1111100000; , 1
10|3, 5, 2222111100; , 4
10|4, 6, 3332221110; 3222211110; 3322211100; 3332211000; 3333210000; , 1
10|5, 9, , 4
10|6, 11, 4443322210; 5443322110; 5544332211; 5554321000; , 2
10|7, 10, , 2
10|8, 15, 7765432100; , 3
10|9, 21, 8866553322; , 5
10|10, 16, 9876543210; 7666643331; 9987542100; , 7
